Événement ID;Date Événement;Code Événement;Libellé Événement;Id Offre;Titre Offre;Date Publication Offre;Offre publiée ?;Code Domaine;Libellé Domaine;Code Opérateur;Libellé Opérateur;Utilisateur ID;Tenant ID
5907;2025-04-04T16:51:50.057632;CST;Consultation;287;Stagiaire reporting sécurité et lutte contre la fraude H/F;2025-03-27T18:05:39.374236;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5906;2025-04-04T16:50:15.038012;CST;Consultation;289;Chefs de Bord DCI - H/F;2025-04-01T18:05:44.298819;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5905;2025-04-04T16:48:10.140309;CST;Consultation;293;Chef de Groupe Département Contrôle et Intervention (H/F);2025-04-03T18:05:38.638248;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5904;2025-04-04T15:22:31.459396;CST;Consultation;293;Chef de Groupe Département Contrôle et Intervention (H/F);2025-04-03T18:05:38.638248;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5903;2025-04-04T14:44:59.827573;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5902;2025-04-04T14:44:59.138645;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5901;2025-04-04T14:44:58.43191;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5900;2025-04-04T14:44:57.743703;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5899;2025-04-04T14:44:57.184423;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5898;2025-04-04T14:44:56.550018;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5897;2025-04-04T14:44:55.900678;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5896;2025-04-04T14:44:55.273612;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5895;2025-04-04T14:44:54.589272;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5894;2025-04-04T14:44:53.921793;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5893;2025-04-04T14:44:53.360738;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5892;2025-04-04T14:44:52.793003;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5891;2025-04-04T14:44:52.221395;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5890;2025-04-04T14:44:51.640583;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5889;2025-04-04T14:44:50.668575;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5888;2025-04-04T14:44:50.103731;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5887;2025-04-04T14:44:49.437908;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5886;2025-04-04T14:44:48.784457;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5885;2025-04-04T14:44:40.131091;CST;Consultation;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5884;2025-04-04T14:37:49.363359;CST;Consultation;293;Chef de Groupe Département Contrôle et Intervention (H/F);2025-04-03T18:05:38.638248;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
5883;2025-04-04T14:25:46.374093;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5882;2025-04-04T14:25:45.740772;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5881;2025-04-04T14:25:45.126714;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5880;2025-04-04T14:25:44.212469;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5879;2025-04-04T14:25:43.230822;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5878;2025-04-04T14:25:42.500739;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5877;2025-04-04T14:25:41.898235;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5876;2025-04-04T14:25:41.265641;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5875;2025-04-04T14:25:40.659575;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5874;2025-04-04T14:25:40.1685;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5873;2025-04-04T14:25:39.588985;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5872;2025-04-04T14:25:38.873199;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5871;2025-04-04T14:25:35.058822;CST;Consultation;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5870;2025-04-04T14:25:09.753389;CDT;Candidature;196;Alternant Conduite/Contrôleur DCI F/H;2025-01-11T16:45:14.238606;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
5869;2025-04-04T14:25:09.316713;CDT;Candidature;196;Alternant Conduite/Contrôleur DCI F/H;2025-01-11T16:45:14.238606;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
5868;2025-04-04T14:25:08.837977;CDT;Candidature;196;Alternant Conduite/Contrôleur DCI F/H;2025-01-11T16:45:14.238606;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
5867;2025-04-04T14:25:08.291713;CDT;Candidature;196;Alternant Conduite/Contrôleur DCI F/H;2025-01-11T16:45:14.238606;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
5866;2025-04-04T14:25:07.726627;CDT;Candidature;196;Alternant Conduite/Contrôleur DCI F/H;2025-01-11T16:45:14.238606;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
5865;2025-04-04T14:25:06.760922;CDT;Candidature;196;Alternant Conduite/Contrôleur DCI F/H;2025-01-11T16:45:14.238606;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
5864;2025-04-04T14:25:03.715618;CST;Consultation;196;Alternant Conduite/Contrôleur DCI F/H;2025-01-11T16:45:14.238606;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
5863;2025-04-04T14:24:18.95774;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5862;2025-04-04T14:24:18.370066;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5861;2025-04-04T14:24:17.767156;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5860;2025-04-04T14:24:17.177055;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5859;2025-04-04T14:24:16.623409;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5858;2025-04-04T14:24:10.427038;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5857;2025-04-04T14:24:09.00959;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5856;2025-04-04T14:24:08.181774;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5855;2025-04-04T14:24:07.39881;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5854;2025-04-04T14:24:06.999569;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5853;2025-04-04T14:24:06.492069;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5852;2025-04-04T14:24:05.428931;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5851;2025-04-04T14:24:04.196339;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5850;2025-04-04T14:24:03.595046;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5849;2025-04-04T14:24:02.702493;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5848;2025-04-04T14:23:04.202394;CST;Consultation;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5847;2025-04-04T14:22:55.550485;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5846;2025-04-04T14:22:54.61948;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5845;2025-04-04T14:22:54.544403;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
